No	BUG级别	处理跟踪	模块	单据名称	BUG清单
1	1	未处理	系统登录		并发用户可同时登录同一个账号
2	1	未处理	系统登录		浏览器cookie保存了登录状态
3	4	已处理	基础数据	供应商资料	过滤条件缺少“状态”
4	2	已处理	基础数据	供应商资料	新增供应商数据字段未刷新清空
5	4	已处理	基础数据	仓库	过滤条件缺少“状态”
6	3	已处理	商品管理	商品	去除按键“SKU查看”
7	2	已处理	商品管理	商品	缺少三个自定义属性字段
8	2	已处理	商品管理	商品	新增商品数据字段未刷新清空
9	3	已处理	商品管理	SKU列表	无此单据
10	1	已处理	商品管理	图片维护	将图片上传数据库，并绑定SKU列表
11	1	未处理	采购管理	采购单	表头和明细表需在一个界面中
12	1	未处理	采购管理	采购单	采购单号应为系统自增字段
13	1	未处理	采购管理	采购单	入库数量不可编辑
14	1	未处理	采购管理	采购单	采购供应商取值错误
15	1	未处理	采购管理	采购单	缺少审核按键
16	1	未处理	采购管理	采购单	采购单状态不可编辑
17	1	未处理	采购管理	采购单	采购明细中的SKU字段下拉框显示错误
18	1	未处理	采购管理	采购单	采购明细中的商品名称字段不可编辑
19	1	未处理	采购管理	采购单	采购单列表中采购总金额字段取值错误
20	2	未处理	采购管理	采购单	采购单编辑状态中，          按键触发数据混乱
21	1	已处理	租赁管理	出租单	表头和明细表需在一个界面中
22	1	已处理	租赁管理	出租单	出租单号应为系统自增字段
23	1	已处理	租赁管理	出租单	物流供应商字段取值错误
24	1	已处理	租赁管理	出租单	归还出租单号字段名称错误
25	2	已处理	租赁管理	出租单	未知字段
26	1	已处理	租赁管理	出租单	新增单据无法显示在列表中
27	1	已处理	租赁管理	出租单	租金总金额、押金总额不可编辑
28	1	未处理	租赁管理	出租单	出租明细中的SKU字段下拉框显示错误
29	1	已处理	租赁管理	出租单	出租明细中的状态字段错误
30	1	已处理	租赁管理	出租单	出租天数不可编辑
31	1	处理中	租赁管理	出租单	缺少审核按键
32	1	未处理	租赁管理	出租单	出租明细中缺少“当前库存”字段
33	1	未处理	租赁管理	归还单	表头和明细表需在一个界面中
34	1	未处理	租赁管理	归还单	归还单号应为系统自增字段
35	1	未处理	租赁管理	归还单	出租单号取值错误
36	1	未处理	租赁管理	归还单	缺少审核按键
37	1	未处理	租赁管理	归还单	单据状态不可编辑
38	1	未处理	租赁管理	归还单	新增单据无法显示在列表中
39	1	未处理	租赁管理	归还单	缺少审核按键
40	1	未处理	库存管理	库存调整	表头和明细表需在一个界面中
